epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
165,19105.4,0.33112,0.53304,0.19542,0.81864,0.79591,0.81265,0.52718,0.37706,0.57608,0.12044,0.0067528,0.0067528,0.0067528
166,19220.8,0.34065,0.54472,0.20316,0.80537,0.78684,0.82091,0.55147,0.32878,0.56245,0.10985,0.006733,0.006733,0.006733
167,19335.7,0.31901,0.54031,0.20084,0.81519,0.77033,0.79182,0.50264,0.36634,0.57142,0.12444,0.0067132,0.0067132,0.0067132
168,19451.6,0.37011,0.54064,0.19371,0.83597,0.71815,0.7629,0.49631,0.35145,0.60514,0.11769,0.0066934,0.0066934,0.0066934
169,19567.1,0.34051,0.55355,0.2024,0.80623,0.73017,0.7953,0.53926,0.32627,0.58208,0.11566,0.0066736,0.0066736,0.0066736
170,19682.5,0.34787,0.55516,0.20446,0.82032,0.75476,0.79884,0.50344,0.37183,0.57864,0.12222,0.0066538,0.0066538,0.0066538
171,19798.3,0.33915,0.56484,0.19631,0.82573,0.76493,0.81315,0.52582,0.35683,0.56577,0.11601,0.006634,0.006634,0.006634
172,19914,0.33462,0.56085,0.19113,0.80614,0.75014,0.79414,0.50285,0.36833,0.55886,0.1167,0.0066142,0.0066142,0.0066142
173,20029.7,0.3515,0.57103,0.19266,0.8232,0.76975,0.81465,0.535,0.35373,0.57377,0.11309,0.0065944,0.0065944,0.0065944
174,20145.4,0.32308,0.55879,0.2,0.78063,0.8473,0.82906,0.55283,0.33383,0.55135,0.11026,0.0065746,0.0065746,0.0065746
175,20260.8,0.32824,0.54012,0.19541,0.84328,0.76907,0.82545,0.52261,0.37133,0.58803,0.12312,0.0065548,0.0065548,0.0065548
176,20376.7,0.32273,0.51101,0.18952,0.81604,0.76969,0.84197,0.51933,0.36617,0.55575,0.12337,0.006535,0.006535,0.006535
177,20492.2,0.33647,0.54848,0.19217,0.80686,0.72029,0.79307,0.49039,0.39761,0.53912,0.12861,0.0065152,0.0065152,0.0065152
178,20608,0.36435,0.53827,0.20651,0.83159,0.72117,0.77253,0.50786,0.3488,0.52946,0.11639,0.0064954,0.0064954,0.0064954
179,20723.8,0.30715,0.52792,0.18825,0.78411,0.71198,0.75501,0.49054,0.37429,0.55194,0.12333,0.0064756,0.0064756,0.0064756
180,20839.3,0.36097,0.52949,0.19329,0.79561,0.71385,0.75177,0.49566,0.36674,0.56152,0.12669,0.0064558,0.0064558,0.0064558
181,20955.1,0.31776,0.53161,0.17659,0.75053,0.75289,0.75981,0.51119,0.34257,0.55042,0.11921,0.006436,0.006436,0.006436
182,21070.5,0.35288,0.55794,0.19261,0.77741,0.72719,0.75949,0.47595,0.38883,0.56708,0.12244,0.0064162,0.0064162,0.0064162
