epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
91,6262.85,0.24989,0.44509,0.17,0.89625,0.84221,0.90318,0.65685,0.33881,0.4712,0.12269,0.00016436,0.00016436,0.00016436
92,6331.09,0.24297,0.47264,0.18772,0.85189,0.86516,0.9068,0.65213,0.35147,0.48081,0.12477,0.000163964,0.000163964,0.000163964
93,6399.91,0.25014,0.46881,0.17505,0.86455,0.8468,0.89125,0.64626,0.35794,0.47518,0.13885,0.000163568,0.000163568,0.000163568
94,6468.31,0.23705,0.46926,0.16928,0.86011,0.88301,0.92183,0.66724,0.32648,0.47978,0.11954,0.000163172,0.000163172,0.000163172
95,6537.2,0.24415,0.44281,0.17523,0.85542,0.88301,0.91159,0.66187,0.33549,0.47529,0.12147,0.000162776,0.000162776,0.000162776
96,6605.43,0.23604,0.45581,0.16661,0.84844,0.90251,0.91908,0.67476,0.31987,0.4659,0.11717,0.00016238,0.00016238,0.00016238
97,6674.17,0.25039,0.45716,0.19187,0.85041,0.8663,0.91235,0.67419,0.32313,0.48309,0.11852,0.000161984,0.000161984,0.000161984
98,6742.57,0.23733,0.4605,0.16322,0.86486,0.85568,0.90066,0.65715,0.33536,0.49285,0.12198,0.000161588,0.000161588,0.000161588
99,6811.18,0.24573,0.45599,0.17757,0.84345,0.90251,0.90951,0.66156,0.33192,0.47255,0.122,0.000161192,0.000161192,0.000161192
100,6879.7,0.24433,0.44674,0.16833,0.85092,0.89037,0.92255,0.65698,0.34267,0.4854,0.12779,0.000160796,0.000160796,0.000160796
101,6948.38,0.23511,0.44203,0.16601,0.88301,0.86351,0.91835,0.6683,0.34232,0.45474,0.12372,0.0001604,0.0001604,0.0001604
102,7016.85,0.24096,0.45082,0.17775,0.86329,0.88858,0.91497,0.67293,0.32623,0.46887,0.11685,0.000160004,0.000160004,0.000160004
103,7085.7,0.24105,0.43086,0.16725,0.87906,0.87744,0.90899,0.6697,0.33472,0.46814,0.14143,0.000159608,0.000159608,0.000159608
104,7154.09,0.24028,0.42761,0.16574,0.85053,0.88763,0.92369,0.6748,0.33575,0.51105,0.1175,0.000159212,0.000159212,0.000159212
105,7222.94,0.24582,0.42893,0.17196,0.86245,0.86072,0.91169,0.67429,0.32492,0.46804,0.11402,0.000158816,0.000158816,0.000158816
106,7291.53,0.23178,0.45376,0.18499,0.87573,0.84409,0.90183,0.65622,0.33798,0.46977,0.12906,0.00015842,0.00015842,0.00015842
107,7360.33,0.23054,0.46218,0.17296,0.86731,0.86351,0.91896,0.66548,0.34354,0.44799,0.12474,0.000158024,0.000158024,0.000158024
108,7428.75,0.23955,0.45743,0.17641,0.8524,0.8468,0.90632,0.66438,0.33024,0.47616,0.1203,0.000157628,0.000157628,0.000157628
109,7497.52,0.23231,0.43365,0.16553,0.86579,0.84123,0.88755,0.63837,0.34372,0.51478,0.13007,0.000157232,0.000157232,0.000157232
110,7565.89,0.23431,0.43153,0.16929,0.83201,0.90251,0.91371,0.6652,0.33171,0.48678,0.11782,0.000156836,0.000156836,0.000156836
111,7634.63,0.23718,0.43339,0.17135,0.86446,0.86908,0.91785,0.66628,0.32362,0.47288,0.10996,0.00015644,0.00015644,0.00015644
112,7702.96,0.22874,0.42293,0.16238,0.86099,0.87992,0.92052,0.66505,0.34133,0.47648,0.12291,0.000156044,0.000156044,0.000156044
113,7771.58,0.2299,0.42525,0.1689,0.81954,0.89972,0.9139,0.67155,0.32567,0.48852,0.11768,0.000155648,0.000155648,0.000155648
114,7839.63,0.22573,0.41546,0.16203,0.82872,0.87601,0.90892,0.67236,0.32906,0.46176,0.11695,0.000155252,0.000155252,0.000155252
115,7908.37,0.22673,0.40032,0.16959,0.85543,0.85794,0.91194,0.67093,0.33253,0.46211,0.11699,0.000154856,0.000154856,0.000154856
116,7976.75,0.23959,0.44828,0.17593,0.82471,0.89117,0.91218,0.66359,0.33998,0.49644,0.12824,0.00015446,0.00015446,0.00015446
