fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.43513,0.00318,0.02157,0.76566,0.00058,3.77385,0.52088,5.40585,0.42178,1.28057,0.01452,0.31176,0.2398,6.4274,0.11456,0.55517,6.29771,0.00064,0.38069,0.6855,0.09432,0.7823,0.05249,0.08626
0.41887,0.00407,0.02167,0.75169,0.00054,4.39486,0.62808,5.18878,0.40065,1.589,0.01879,0.31274,0.19977,7.46245,0.12084,0.65319,8.07648,0.0008,0.39981,0.60464,0.07464,1.0,0.0724,0.08088
0.38701,0.00472,0.01919,0.95149,0.0005,3.4078,0.66274,5.98449,0.38459,1.35875,0.01173,0.33763,0.26865,8.17196,0.12084,0.64503,5.99452,0.00082,0.37032,0.79247,0.09223,0.91172,0.06975,0.06045
0.42242,0.00384,0.02284,0.72721,0.00046,4.39486,0.65876,4.68999,0.44626,1.55564,0.01652,0.31176,0.23808,7.59872,0.10867,0.57443,6.77652,0.00074,0.37032,0.90448,0.07481,0.82332,0.07115,0.0782
0.38044,0.00368,0.02078,0.6829,0.00057,3.06942,0.56524,5.3146,0.34598,1.23718,0.01383,0.27142,0.25156,6.3024,0.11487,0.51855,6.44858,0.0006,0.37962,0.72218,0.08508,0.9007,0.05716,0.08569
0.40757,0.00412,0.01904,0.78869,0.00055,3.71367,0.54375,5.51497,0.43098,1.34849,0.01555,0.32695,0.22424,6.49102,0.11597,0.55213,5.75377,0.00064,0.38757,0.65284,0.07944,0.94373,0.06262,0.08812
0.45159,0.00366,0.02072,0.72446,0.00057,3.92441,0.54375,4.96826,0.41668,1.19799,0.0152,0.30715,0.22541,6.6707,0.11487,0.58477,6.083,0.00058,0.38509,0.65119,0.09691,0.87941,0.05716,0.08726
0.46126,0.0039,0.0194,0.81422,0.00055,4.13042,0.54375,5.75561,0.43864,1.40353,0.01501,0.28439,0.23019,6.92113,0.11364,0.60595,5.8616,0.00067,0.41645,0.63248,0.08305,0.91897,0.06121,0.08446
0.42675,0.00389,0.02359,0.81422,0.00063,4.20626,0.54375,4.69492,0.40228,1.39612,0.01334,0.29262,0.19312,5.50665,0.13535,0.7462,5.8616,0.00083,0.3467,0.64121,0.08305,0.77788,0.06358,0.083
0.44665,0.00402,0.01897,0.77769,0.00052,4.18732,0.51522,5.35967,0.43212,1.39326,0.01548,0.31897,0.22804,6.92113,0.1141,0.5933,5.82747,0.00071,0.40373,0.67253,0.08202,0.95805,0.06385,0.0814
0.49809,0.0033,0.01496,0.78282,0.00058,5.0,0.55015,5.66631,0.4249,1.23914,0.01494,0.304,0.21925,8.78451,0.14314,0.65217,6.19743,0.00067,0.39719,0.70827,0.08203,0.93388,0.0603,0.07512
0.48214,0.00277,0.01183,0.75131,0.00053,4.84422,0.5563,5.66631,0.43651,1.24235,0.01494,0.33486,0.21925,9.36595,0.14314,0.63735,7.1404,0.00055,0.42979,0.71416,0.08445,0.93388,0.06554,0.07254
0.49187,0.00277,0.01183,0.7559,0.00053,4.81163,0.5588,5.68551,0.4389,1.24225,0.01484,0.33493,0.2209,9.28475,0.14285,0.63962,7.12918,0.00055,0.42987,0.70933,0.08593,0.9316,0.06489,0.0725
0.4648,0.00314,0.01176,0.73738,0.00045,4.60704,0.58419,5.66631,0.39009,1.16008,0.01601,0.33486,0.20334,7.77965,0.14314,0.63735,7.61259,0.00051,0.39851,0.64312,0.08445,1.0,0.06319,0.06291
0.54707,0.00216,0.01016,0.75131,0.00044,4.63704,0.60161,5.34124,0.65435,0.91539,0.01236,0.3382,0.18038,4.63176,0.12837,0.76725,6.48291,0.00056,0.25677,0.71416,0.08445,0.93388,0.05164,0.07254
0.49799,0.00277,0.01173,0.77638,0.00052,4.79021,0.5588,5.70455,0.47594,1.25312,0.01524,0.32881,0.22321,8.89919,0.14123,0.64113,7.03914,0.00055,0.42987,0.70742,0.08903,0.95834,0.06348,0.07587
